 time           y          y-diff      y+diff
       -67050770.  -0.00490702   -0.0114756   0.00166152
       -64419450.  -0.00715667   -0.0137252 -0.000588136
       -61737770.   -0.0114416   -0.0180101  -0.00487304
       -59189820.   -0.0144938   -0.0210624  -0.00792530
       -56636000.   -0.0142905   -0.0208590  -0.00772195
       -53993110.  -0.00980044   -0.0163690  -0.00323191
       -51356150.  -0.00559374   -0.0121623  0.000974793
       -48745860.  -0.00127998  -0.00784852   0.00528855
       -46055310.   0.00350333  -0.00306521    0.0100719
       -43412210.   0.00305598  -0.00351256   0.00962451
       -40777990.   0.00187465  -0.00469388   0.00844319
       -38149740.   0.00425031  -0.00231823    0.0108188
       -35518610.    0.0106156   0.00404705    0.0171841
       -32881680.    0.0117728   0.00520426    0.0183413
       -30203360.   0.00619214 -0.000376395    0.0127607
       -27652840.   0.00117902  -0.00538952   0.00774756
       -25099470.  0.000600386  -0.00596815   0.00716892
       -22457070.   0.00185042  -0.00471811   0.00841896
       -19820620.   0.00122680  -0.00534173   0.00779534
       -17184150.  0.000446046  -0.00612249   0.00701458
       -14547640.   0.00292960  -0.00363894   0.00949813
       -11872500.   0.00474460  -0.00182393    0.0113131
       -9244875.0   0.00687468  0.000306147    0.0134432
       -6611372.0   0.00568360 -0.000884934    0.0122521
       -3980974.0   0.00716004  0.000591505    0.0137286
       -1344854.0   0.00612072 -0.000447814    0.0126893
        1332603.0   0.00262091  -0.00394762   0.00918945
        3926768.0  0.000751781  -0.00581675   0.00732032
        6523728.0  0.000505220  -0.00606332   0.00707376
        9165008.0   0.00269709  -0.00387144   0.00926563
        11800180.   0.00403834  -0.00253020    0.0106069
        14435320.   0.00755098  0.000982443    0.0141195
        17070430.   0.00974252   0.00317399    0.0163111
        19747060.   0.00924089   0.00267235    0.0158094
        22379180.   0.00544994  -0.00111860    0.0120185
        25011070.   0.00250602  -0.00406251   0.00907456
        27640070.   0.00175890  -0.00480964   0.00832743
        30277270.   0.00149375  -0.00507479   0.00806228
        32955980.  0.000723440  -0.00584510   0.00729198
        35506940. -0.000731447  -0.00729998   0.00583709
        38057760.   0.00260068  -0.00396785   0.00916922
        40700370.   0.00532287  -0.00124567    0.0118914
        43336920.   0.00721840  0.000649861    0.0137869
        45970500.   0.00789615   0.00132762    0.0144647
        48607060.    0.0110434   0.00447488    0.0176120
        51288140.    0.0121324   0.00556382    0.0187009
        53915830.   0.00863227   0.00206374    0.0152008
        56546320.   0.00429375  -0.00227479    0.0108623
        59179460.   0.00286230  -0.00370624   0.00943083
        61812240.   0.00189904  -0.00466949   0.00846758
        64492090. -0.000650385  -0.00721892   0.00591815
        67041360.  -0.00275325  -0.00932179   0.00381528
        69593170. -0.000574691  -0.00714323   0.00599384
        72236280.   0.00269363  -0.00387490   0.00926217
        74873590.   0.00436848  -0.00220005    0.0109370
        77507890.   0.00171980  -0.00484873   0.00828834
        80157410.   0.00158188  -0.00498666   0.00815041
        82942010.   0.00483493  -0.00173361    0.0114035
        85454350.   0.00701694  0.000448406    0.0135855
        88085030.   0.00655143 -1.71014e-05    0.0131200
        90719560.   0.00206600  -0.00450253   0.00863454
        93355830.   0.00105000  -0.00551853   0.00761854
        96034255.  0.000710981  -0.00585755   0.00727952
        98583585.   0.00358189  -0.00298664    0.0101504
